theme,url,img,lines,author
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20220419_tuesday_quote.jpg?1650051929,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",<Author:0x00007f4ed9d992a0>
HARD WORK,/inspirational-quotes/6188-far-and-away-the-best-prize-that-life-offers-is,https://assets.passiton.com/quotes/quote_artwork/6188/medium/20220418_monday_quote.jpg?1650051893,Far and away the best prize that life offers is the chance to work hard at work worth doing. ,<Author:0x00007f4ed9dc1f48>
LIVE LIFE,/inspirational-quotes/4171-twenty-years-from-now-you-will-be-more,https://assets.passiton.com/quotes/quote_artwork/4171/medium/20220415_friday_quote.jpg?1649602334,Twenty years from now you will be more disappointed by the things you didn't do than by the ones you did. So throw off the bowlines. Sail away from the safe harbor. Catch the trade winds in your sails. Explore. Dream. Discover.,<Author:0x00007f4ed9de3f30>
LIVE LIFE,/inspirational-quotes/7773-be-fearless-in-the-pursuit-of-what-sets-your,https://assets.passiton.com/quotes/quote_artwork/7773/medium/20220414_thursday_quote.jpg?1649602309,Be fearless in the pursuit of what sets your soul on fire.,<Author:0x00007f4ed9e14018>
LIVE LIFE,/inspirational-quotes/7595-its-your-place-in-the-world-its-your-life-go,https://assets.passiton.com/quotes/quote_artwork/7595/medium/20220413_wednesday_quote.jpg?1649602286,"It's your place in the world; it's your life. Go on and do all you can with it, and make it the life you want to live.",<Author:0x00007f4ed9e594b0>
LIVE LIFE,/inspirational-quotes/6244-to-be-able-to-look-back-upon-ones-life-in,https://assets.passiton.com/quotes/quote_artwork/6244/medium/20220412_tuesday_quote.jpg?1649602258,"To be able to look back upon one's life in satisfaction, is to live twice.",<Author:0x00007f4ed9e78ef0>
LIVE LIFE,/inspirational-quotes/6706-the-purpose-of-life-after-all-is-to-live-it,https://assets.passiton.com/quotes/quote_artwork/6706/medium/20220411_monday_quote.jpg?1649602229,"The purpose of life, after all, is to live it, to taste experience to the utmost, to reach out eagerly and without fear for newer and richer experience.",<Author:0x00007f4eda0e4748>
JOY,/inspirational-quotes/7571-happiness-not-in-another-place-but-this,https://assets.passiton.com/quotes/quote_artwork/7571/medium/20220408_friday_quote.jpg?1648840829,"Happiness, not in another place, but this place... not for another hour, but for this hour.",<Author:0x00007f4eda1222a0>
JOY,/inspirational-quotes/7482-joy-is-a-decision-a-really-brave-one-about,https://assets.passiton.com/quotes/quote_artwork/7482/medium/20220407_thursday_quote.jpg?1648840799,"Joy is a decision, a really brave one, about how you are going to respond to life.",<Author:0x00007f4eda17ac20>
JOY,/inspirational-quotes/7266-find-joy-in-everything-you-choose-to-do-every,https://assets.passiton.com/quotes/quote_artwork/7266/medium/20220406_wednesday_quote.jpg?1648840778,"Find joy in everything you choose to do. Every job, relationship, home... it's your responsibility to love it, or change it.",<Author:0x00007f4eda1d7498>
JOY,/inspirational-quotes/8322-if-you-carry-joy-in-your-heart-you-can-heal,https://assets.passiton.com/quotes/quote_artwork/8322/medium/20220405_tuesday_quote.jpg?1648840755,"If you carry joy in your heart, you can heal any moment.",<Author:0x00007f4eda224220>
JOY,/inspirational-quotes/8321-joy-blooms-where-minds-and-hearts-are-open,https://assets.passiton.com/quotes/quote_artwork/8321/medium/20220404_monday_quote.jpg?1648840732,Joy blooms where minds and hearts are open.,<Author:0x00007f4eda27c1c8>
WISDOM,/inspirational-quotes/8320-like-water-in-the-desert-is-wisdom-to-the-soul,https://assets.passiton.com/quotes/quote_artwork/8320/medium/20220401_friday_quote.jpg?1648226277,Like water in the desert is wisdom to the soul.,<Author:0x00007f4eda2d8b30>
WISDOM,/inspirational-quotes/8319-you-know-the-difference-between-knowledge-and,https://assets.passiton.com/quotes/quote_artwork/8319/medium/20220331_thursday_quote.jpg?1648226254,You know the difference between knowledge and wisdom? Knowledge is knowing tomato is a fruit. Wisdom is knowing you don't put tomato in a fruit salad.,<Author:0x00007f4eda340be0>
WISDOM,/inspirational-quotes/6506-yesterday-i-was-clever-so-i-wanted-to-change,https://assets.passiton.com/quotes/quote_artwork/6506/medium/20220330_wednesday_quote.jpg?1648226229,"Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.",<Author:0x00007f4eda3a4550>
WISDOM,/inspirational-quotes/7874-turn-your-wounds-into-wisdom,https://assets.passiton.com/quotes/quote_artwork/7874/medium/20220329_tuesday_quote.jpg?1648226204,Turn your wounds into wisdom.,<Author:0x00007f4eda3e8b60>
WISDOM,/inspirational-quotes/8318-we-dont-receive-wisdom-we-must-discover-it-for,https://assets.passiton.com/quotes/quote_artwork/8318/medium/20220328_monday_quote.jpg?1648226183,We don't receive wisdom; we must discover it for ourselves after a journey that no one can take for us or spare us.,<Author:0x00007f4eda43b270>
KINDNESS,/inspirational-quotes/6345-one-kind-word-can-warm-three-winter-months,https://assets.passiton.com/quotes/quote_artwork/6345/medium/20220325_friday_quote.jpg?1647621314,One kind word can warm three winter months.,<Author:0x00007f4eda488958>
KINDNESS,/inspirational-quotes/4228-good-words-bring-good-feelings-to-the-heart,https://assets.passiton.com/quotes/quote_artwork/4228/medium/20220324_thursday_quote.jpg?1647621286,"Good words bring good feelings to the heart. Speak with kindness, always. ",<Author:0x000055a5040107f8>
